sentence_1;sentence_2;similarity_score
Flavourings for beverages [essential oils];Moistened tooth powder;0.0
Flavourings for beverages [essential oils];Other substances for laundry use;0.0
Flavourings for beverages [essential oils];Perfumery;0.0
Flavourings for beverages [essential oils];Perfumes;0.0
Flavourings for beverages [essential oils];Polishing preparations;0.0
Flavourings for beverages [essential oils];Scented water;0.0
Flavourings for beverages [essential oils];Scouring substances;0.0
Flavourings for beverages [essential oils];Soap;0.0
Flavourings for beverages [essential oils];Toilet soap;0.0
Flavourings for beverages [essential oils];Tooth cleaning preparations;0.0
Flavourings for beverages [essential oils];Tooth powder;0.0
Flavourings for beverages [essential oils];Toothpaste;0.0
Flavourings, other than essential oils, for beverages;Baking powder;0.0
Flavourings, other than essential oils, for beverages;Bread;0.0
Flavourings, other than essential oils, for beverages;Cocoa;0.0
Flavourings, other than essential oils, for beverages;Compotes;0.0
Flavourings, other than essential oils, for beverages;Confectionery;0.0
Flavourings, other than essential oils, for beverages;Cooked fruits;0.0
Flavourings, other than essential oils, for beverages;Dried fruit;0.0
Flavourings, other than essential oils, for beverages;Edible fats;0.0
Flavourings, other than essential oils, for beverages;Edible ices;0.0
Flavourings, other than essential oils, for beverages;Eggs;0.0
Flavourings, other than essential oils, for beverages;Fish, not live;0.0
Flavourings, other than essential oils, for beverages;Flour;0.0
Flavourings, other than essential oils, for beverages;Frozen fruits;0.0
Flavourings, other than essential oils, for beverages;Frozen vegetables;0.0
Flavourings, other than essential oils, for beverages;Fruit, preserved;0.0
Flavourings, other than essential oils, for beverages;Game, not live;0.0
Flavourings, other than essential oils, for beverages;Golden syrup;0.0
Flavourings, other than essential oils, for beverages;Honey;0.0
Flavourings, other than essential oils, for beverages;Ice for refreshment;0.0
Flavourings, other than essential oils, for beverages;Jams;0.0
Flavourings, other than essential oils, for beverages;Jellies for food;0.0
Flavourings, other than essential oils, for beverages;Malt biscuits;0.0
Flavourings, other than essential oils, for beverages;Meat;0.0
Flavourings, other than essential oils, for beverages;Meat extracts;0.0
Flavourings, other than essential oils, for beverages;Meats;0.0
Flavourings, other than essential oils, for beverages;Milk;0.0
Flavourings, other than essential oils, for beverages;Milk products;0.0
Flavourings, other than essential oils, for beverages;Molasses for food;0.0
Flavourings, other than essential oils, for beverages;Mustard;0.0
Flavourings, other than essential oils, for beverages;Oils for food;0.0
Flavourings, other than essential oils, for beverages;Poultry;0.0
Flavourings, other than essential oils, for beverages;Preparations made from cereals;0.0
Flavourings, other than essential oils, for beverages;Preserved vegetables;0.0
Flavourings, other than essential oils, for beverages;Rice;0.0
Flavourings, other than essential oils, for beverages;Sago;0.0
Flavourings, other than essential oils, for beverages;Salt;0.0
Flavourings, other than essential oils, for beverages;Sauces [condiments];0.0
Flavourings, other than essential oils, for beverages;Seasonings;0.0
Flavourings, other than essential oils, for beverages;Sugar;0.0
Flavourings, other than essential oils, for beverages;Sweetmeats [candy];0.0
Flavourings, other than essential oils, for beverages;Sweets;0.0
Flavourings, other than essential oils, for beverages;Syrups and treacles;0.0
Flavourings, other than essential oils, for beverages;Tapioca;0.0
Flavourings, other than essential oils, for beverages;Tea;0.0
Flavourings, other than essential oils, for beverages;Vegetables, cooked;0.0
Flavourings, other than essential oils, for beverages;Vegetables, dried;0.0
Flavourings, other than essential oils, for beverages;Vinegar;0.0
Flavourings, other than essential oils, for beverages;Yeast;0.0
Flavourings, other than essential oils, for cakes;Baking powder;0.0
Flavourings, other than essential oils, for cakes;Bread;0.0
Flavourings, other than essential oils, for cakes;Cocoa;0.0
Flavourings, other than essential oils, for cakes;Compotes;0.0
Flavourings, other than essential oils, for cakes;Cooked fruits;0.0
Flavourings, other than essential oils, for cakes;Dried fruit;0.0
Flavourings, other than essential oils, for cakes;Edible fats;0.0
Flavourings, other than essential oils, for cakes;Edible ices;0.0
Flavourings, other than essential oils, for cakes;Eggs;0.0
Flavourings, other than essential oils, for cakes;Fish, not live;0.0
Flavourings, other than essential oils, for cakes;Flour;0.0
Flavourings, other than essential oils, for cakes;Frozen fruits;0.0
Flavourings, other than essential oils, for cakes;Frozen vegetables;0.0
Flavourings, other than essential oils, for cakes;Fruit, preserved;0.0
Flavourings, other than essential oils, for cakes;Game, not live;0.0
Flavourings, other than essential oils, for cakes;Golden syrup;0.0
Flavourings, other than essential oils, for cakes;Honey;0.0
Flavourings, other than essential oils, for cakes;Ice for refreshment;0.0
Flavourings, other than essential oils, for cakes;Jams;0.0
Flavourings, other than essential oils, for cakes;Jellies for food;0.0
Flavourings, other than essential oils, for cakes;Malt biscuits;0.0
Flavourings, other than essential oils, for cakes;Meat;0.0
Flavourings, other than essential oils, for cakes;Meat extracts;0.0
Flavourings, other than essential oils, for cakes;Meats;0.0
Flavourings, other than essential oils, for cakes;Milk;0.0
Flavourings, other than essential oils, for cakes;Milk products;0.0
Flavourings, other than essential oils, for cakes;Molasses for food;0.0
Flavourings, other than essential oils, for cakes;Mustard;0.0
Flavourings, other than essential oils, for cakes;Oils for food;0.0
Flavourings, other than essential oils, for cakes;Poultry;0.0
Flavourings, other than essential oils, for cakes;Preparations made from cereals;0.0
Flavourings, other than essential oils, for cakes;Preserved vegetables;0.0
Flavourings, other than essential oils, for cakes;Rice;0.0
Flavourings, other than essential oils, for cakes;Sago;0.0
Flavourings, other than essential oils, for cakes;Sauces [condiments];0.0
Flavourings, other than essential oils, for cakes;Seasonings;0.0
Flavourings, other than essential oils, for cakes;Sugar;0.0
Flavourings, other than essential oils, for cakes;Sweetmeats [candy];0.0
Flavourings, other than essential oils, for cakes;Syrups and treacles;0.0
Flavourings, other than essential oils, for cakes;Tapioca;0.0
Flavourings, other than essential oils, for cakes;Vegetables, cooked;0.0
Flavourings, other than essential oils, for cakes;Vinegar;0.0
Flavourings, other than essential oils, for cakes;Yeast;0.0
Flexible hoses, not of metal;Bags and sacks for packaging, storage and transport;0.0
Flexible hoses, not of metal;Clothing;0.0
Flexible hoses, not of metal;Cord;0.0
Flexible hoses, not of metal;Footwear;0.0
Flexible hoses, not of metal;Glass, unworked or semi-worked, except building glass;0.0
Flexible hoses, not of metal;Headgear;0.0
Flexible hoses, not of metal;Nets;0.0
Flexible hoses, not of metal;Padding materials, not of rubber, plastics, paper or cardboard;0.0
Flexible hoses, not of metal;Raw fibrous textile;0.0
Flexible hoses, not of metal;Raw textile fibers;0.0
Flexible hoses, not of metal;Ropes;0.0
Flexible hoses, not of metal;Sacks and bags (not included in other classes);0.0
Flexible hoses, not of metal;Sails;0.0
Flexible hoses, not of metal;String;0.0
Flexible hoses, not of metal;Tarpaulins;0.0
Flexible hoses, not of metal;Tents;0.0
Flexible hoses, not of metal;Tents for camping;0.0
Flexible pipes, tubes, hoses, and fittings therefor, including valves, non-metallic;Doors, gates, windows and window coverings, not of metal;0.0
Flexible pipes, tubes, hoses, and fittings therefor, including valves, non-metallic;Statues and works of art made of materials such as stone, concrete and marble, included in the class;0.0
Flexible pipes, tubes, hoses, and fittings therefor, including valves, non-metallic;Structures and transportable buildings, not of metal;0.0
Flippers for swimming;Animal skins;0.0
Flippers for swimming;Coverings of skins [furs];0.0
Flippers for swimming;Harness for animals;0.0
Flippers for swimming;Harnesses;0.0
Flippers for swimming;Imitation leather;0.0
Flippers for swimming;Leather for shoes;0.0
Flippers for swimming;Saddlery;0.0
Flippers for swimming;Straps of leather [saddlery];0.0
Flippers for swimming;Trunks [luggage];0.0
Flippers for swimming;Trunks and suitcases;0.0
Flippers for swimming;Whips;0.0
Floor wax removers [scouring preparations];Cosmetic preparations;0.0
Floor wax removers [scouring preparations];Cosmetics;0.0
Floor wax removers [scouring preparations];Dentifrices;0.0
Floor wax removers [scouring preparations];Ethereal oils;0.0
Floor wax removers [scouring preparations];Fragrances;0.0
Floor wax removers [scouring preparations];Hair care creams;0.0
Floor wax removers [scouring preparations];Hair care lotions;0.0
Floor wax removers [scouring preparations];Hair lotions;0.0
Floor wax removers [scouring preparations];Hair tonic;0.0
Floor wax removers [scouring preparations];Make-up;0.0
Floor wax removers [scouring preparations];Moistened tooth powder;0.0
Floor wax removers [scouring preparations];Perfumery;0.0
Floor wax removers [scouring preparations];Scented water;0.0
Floor wax removers [scouring preparations];Tooth cleaning preparations;0.0
Floor wax removers [scouring preparations];Tooth powder;0.0
Floor wax removers [scouring preparations];Toothpaste;0.0
Floor wax;Bleaching preparations;0.0
Floor wax;Cosmetic preparations;0.0
Floor wax;Cosmetics;0.0
Floor wax;Dentifrices;0.0
Floor wax;Ethereal oils;0.0
Floor wax;Fragrances;0.0
Floor wax;Hair care creams;0.0
Floor wax;Hair care lotions;0.0
Floor wax;Hair lotions;0.0
Floor wax;Hair tonic;0.0
Floor wax;Moistened tooth powder;0.0
Floor wax;Perfumery;0.0
Floor wax;Perfumes;0.0
Floor wax;Toiletries;0.0
Floor wax;Tooth cleaning preparations;0.0
Floor wax;Tooth powder;0.0
Floor wax;Toothpaste;0.0
Floors, not of metal;Custom assembling of materials for others;0.0
Floppy disks;Telecommunication services;0.0
Floppy disks;Television production;0.0
Flour ready for baking;Cranberry compote;0.0
Flour ready for baking;Edible ices;0.0
Flour ready for baking;Edible oils and fats;0.0
Flour ready for baking;Eggs;0.0
Flour ready for baking;Fish, not live;0.0
Flour ready for baking;Fruit, preserved;0.0
Flour ready for baking;Golden syrup;0.0
Flour ready for baking;Honey;0.0
Flour ready for baking;Ice for refreshment;0.0
Flour ready for baking;Jellies for food;0.0
Flour ready for baking;Meat;0.0
Flour ready for baking;Meat extracts;0.0
Flour ready for baking;Meat, fish, poultry and game;0.0
Flour ready for baking;Meats;0.0
Flour ready for baking;Molasses for food;0.0
Flour ready for baking;Mustard;0.0
Flour ready for baking;Oils for food;0.0
Flour ready for baking;Preserved vegetables;0.0
Flour ready for baking;Salt;0.0
Flour ready for baking;Sauces [condiments];0.0
Flour ready for baking;Seasonings;0.0
Flour ready for baking;Spices;0.0
Flour ready for baking;Syrups and treacles;0.0
Flour ready for baking;Temporary accommodation;0.0
Flour ready for baking;Vinegar;0.0
Flour;Artificial coffee;0.0
Flour;Chai tea;0.0
Flour;Cheeseburgers [sandwiches];0.0
Flour;Cocoa;0.0
Flour;Coffee;0.0
Flour;Condiments;0.0
Flour;Cooling ice;0.0
Flour;Cranberry compote;0.0
Flour;Custard;0.0
Flour;Edible oils and fats;0.0
Flour;Eggs;0.0
Flour;Fruit, fresh;0.0
Flour;Glucose for culinary purposes;0.0
Flour;Golden syrup;0.0
Flour;Honey;0.0
Flour;Ice for refreshment;0.0
Flour;Lecithin for culinary purposes;0.0
Flour;Milk;0.0
Flour;Milk products;0.0
Flour;Molasses for food;0.0
Flour;Mustard;0.0
Flour;Noodle-based prepared meals;0.0
Flour;Oils for food;0.0
Flour;Pollen prepared as foodstuff;0.0
Flour;Propolis;0.0
Flour;Ravioli;0.0
Flour;Restaurant services;0.0
Flour;Rice;0.0
Flour;Royal jelly;0.0
Flour;Salt;0.0
Flour;Sandwiches;0.0
Flour;Sauces [condiments];0.0
Flour;Seasonings;0.0
Flour;Spices;0.0
Flour;Sugar;0.0
Flour;Syrups and treacles;0.0
Flour;Tea;0.0
Flour;Treacle;0.0
Flour;Vegetables, fresh;0.0
Flour;Vinegar;0.0
Flower arranging;Hygienic care for human beings;0.0
Flowers;Animal feed;0.0
Flowers;Animal foodstuffs;0.0
Flowers;Animal litter;0.0
Flowers;Christmas trees;0.0
Flowers;Cucumbers, fresh;0.0
Flowers;Dog biscuits;0.0
Flowers;Edible chews for animals;0.0
Flowers;Fish, live;0.0
Flowers;Fodder;0.0
Flowers;Foodstuffs and fodder for animals;0.0
Flowers;Fruit, fresh;0.0
Flowers;Groats for poultry;0.0
Flowers;Lemons, fresh;0.0
Flowers;Lettuce, fresh;0.0
Flowers;Litter for animals;0.0
Flowers;Litter peat;0.0
Flowers;Live animals;0.0
Flowers;Meal for animals;0.0
Flowers;Potatoes, fresh;0.0
Flowers;Poultry, live;0.0
Flowers;Products for animal litter;0.0
Flowers;Rice, unprocessed;0.0
Flower-stands [furniture];Delivery of furniture;0.0
Flower-stands [furniture];Storage of furniture;0.0
Flowers;Vegetables, fresh;0.0
Flowers;Wheat proteins for animal food;0.0
Flowmeters;Apparatus for lighting;0.0
Flowmeters;Apparatus for ventilating;0.0
Flowmeters;Cooking apparatus and installations;0.0
Flowmeters;Cutlery;0.0
Flowmeters;Radiators [heating];0.0
Flowmeters;Radios;0.0
Flowmeters;Razors;0.0
Flowmeters;Side arms, other than firearms;0.0
